param_set,method,estimation_time,fitting_time,fit_success,param_success,fit_message,fit_nfev,true_amplitude1,true_center1,true_width1,true_amplitude2,true_center2,true_width2,initial_amplitude1,initial_center1,initial_width1,initial_amplitude2,initial_center2,initial_width2,fitted_amplitude1,fitted_center1,fitted_width1,fitted_amplitude2,fitted_center2,fitted_width2,error_amplitude1,error_center1,error_width1,error_amplitude2,error_center2,error_width2
1,Standard lmfit (least_squares),0.0005514621734619141,0.031210660934448242,True,False,`ftol` termination condition is satisfied.,250,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,5.05,0.0,1.05,5.05,0.0,1.05,2.0604221770121356,4.021714490446683,1.4064820324855818,1.9568212813316737,4.999894893871029,1.4242293001003852,0.6581187576163675,2.1691664035573037,2.5482315196912406,0.4861217368344459,0.10932686687866523,0.04464697025277692
1,ZeroGuess + lmfit (least_squares),0.0012791156768798828,0.0076978206634521484,True,True,`ftol` termination condition is satisfied.,49,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,2.7805659770965576,-3.365145206451416,0.3726634979248047,3.7961130142211914,4.233284950256348,1.5577483177185059,5.9997498828164195,-3.435117065664231,0.3964186139793546,3.7881201970051297,4.496200300313963,1.501891590967018,0.004474924210520311,0.0013653443074487831,7.322427581714963e-05,0.005206737032922783,0.002427871409798456,0.007447804704681327
1,True + lmfit (least_squares),0.0005440711975097656,0.005283355712890625,True,True,`ftol` termination condition is satisfied.,28,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,5.99974983455676,-3.435117068969298,0.3964186203889567,3.7881202069762407,4.496200303940625,1.501891583049696,0.004474932218137629,0.0013653433466214605,7.324044577294701e-05,0.005206734414422424,0.002427870605150903,0.007447799393852737
1,Standard lmfit (dual_annealing),0.0005033016204833984,1.106551170349121,True,True,['Maximum number of iteration reached'],12176,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,5.05,0.0,1.05,5.05,0.0,1.05,5.999750426853494,-3.435117049738325,0.39641863717584896,3.78811988665963,4.496200195010467,1.5018916934528306,0.004474833939665699,0.0013653489373234796,7.328279525120347e-05,0.005206818532346259,0.002427894773488981,0.007447873450726275
1,ZeroGuess + lmfit (dual_annealing),0.0012238025665283203,1.0887508392333984,True,True,['Maximum number of iteration reached'],12162,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,2.7805659770965576,-3.365145206451416,0.3726634979248047,3.7961130142211914,4.233284950256348,1.5577483177185059,5.999757206173078,-3.4351168336312274,0.39641807744458035,3.7881168454388474,4.496199972977892,1.501892630413561,0.004473709062333262,0.0013654117625584948,7.187072166336165e-05,0.005207617183336341,0.0024279440358647873,0.0074485019508367676
1,True + lmfit (dual_annealing),0.0005159378051757812,1.0952908992767334,True,True,['Maximum number of iteration reached'],12183,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,6.026718993550662,-3.439813595575635,0.39638958863878504,3.807947176588889,4.507143064099161,1.4907884894416696,5.999741378024801,-3.4351172795544915,0.3964184945766693,3.788121016075041,4.496203443822766,1.5018927757561034,0.004476335391567182,0.0013652821266780316,7.29230502332369e-05,0.005206521938050541,0.0024271739593829957,0.0074485994445747964
2,Standard lmfit (least_squares),0.0005130767822265625,0.02906489372253418,True,False,`ftol` termination condition is satisfied.,240,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,5.05,0.0,1.05,5.05,0.0,1.05,0.9852569561324277,-4.858740010114344,1.6455933672976242,6.110189847521823,-4.78096385233938,1.9999999998944842,0.8614250003940458,0.013471602879740373,0.15299102225885633,8.051760839155968,2.3056459049841904,0.6101523034787826
2,ZeroGuess + lmfit (least_squares),0.0012066364288330078,0.008107185363769531,True,True,`ftol` termination condition is satisfied.,49,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,6.341765880584717,-4.382231712341309,1.8810428380966187,0.9687630534172058,3.057828903198242,1.2165379524230957,7.0873335648273255,-4.793770158237432,1.948442669889405,0.6472326423190379,3.594177007735577,1.2661834112653394,0.003176542078424546,8.028501372266039e-05,0.0028895757646581737,0.04117625936892229,0.018456813966061726,0.019374068191534522
2,True + lmfit (least_squares),0.0004942417144775391,0.0061969757080078125,True,True,`ftol` termination condition is satisfied.,35,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,7.087333564104735,-4.793770159900733,1.9484426699420585,0.6472323556591119,3.5941788475230214,1.2661845331841393,0.0031765421800559325,8.028466677922853e-05,0.002889575791759604,0.041176684032829175,0.018456311533703463,0.019374971421604527
2,Standard lmfit (dual_annealing),0.0005190372467041016,1.1358773708343506,True,True,['Maximum number of iteration reached'],12449,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,5.05,0.0,1.05,5.05,0.0,1.05,7.087333659325329,-4.7937701932340815,1.9484426446465184,0.6472322663754962,3.5941775610047424,1.2661847095767484,0.003176528787413836,8.02777138650801e-05,0.0028895627718058337,0.04117681629941263,0.01845666287234031,0.019375113431087533
2,ZeroGuess + lmfit (dual_annealing),0.0012295246124267578,1.1384356021881104,True,True,['Maximum number of iteration reached'],12505,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,6.341765880584717,-4.382231712341309,1.8810428380966187,0.9687630534172058,3.057828903198242,1.2165379524230957,7.087333473738678,-4.793770141738113,1.9484426453420949,0.6472318883409145,3.594178496267757,1.266184929925038,0.0031765548899142246,8.028845527159819e-05,0.00288956312982838,0.041177376327612786,0.018456407458921006,0.019375290828240587
2,True + lmfit (dual_annealing),0.0005629062652587891,1.1432347297668457,True,True,['Maximum number of iteration reached'],12351,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,7.10991852018085,-4.7941550570419755,1.9428287191077893,0.6750277604651747,3.6617614577493516,1.2421185223120967,7.087333199319933,-4.793770168629711,1.9484428233690638,0.6472319066700823,3.5941776487604638,1.2661843031328326,0.00317659348652315,8.028284602492979e-05,0.00288965476269709,0.04117734917440676,0.01845663890690117,0.01937478621278384
